Electricity
Time,p_usage
17.09.2022 11:00,0.013051473759439318,
17.09.2022 11:05,0.013153005196659002,
17.09.2022 11:10,0.013423336589489658,
17.09.2022 11:15,0.013782976574775833,
17.09.2022 11:20,0.01249664112785497,
17.09.2022 11:25,0.013267830241671831,
17.09.2022 11:30,0.013936662913842738,
17.09.2022 11:35,0.013946535773949083,
17.09.2022 11:40,0.012262553657874837,
17.09.2022 11:45,0.012794573172077944,
17.09.2022 11:50,0.013513292137269511,
17.09.2022 11:55,0.013229308327664304,
17.09.2022 12:00,0.012646103136857765,
17.09.2022 12:05,0.012661599059528149,
17.09.2022 12:10,0.013265170242950392,
17.09.2022 12:15,0.012470425761987619,
17.09.2022 12:20,0.013916727709694642,
17.09.2022 12:25,0.013374343598321337,
17.09.2022 12:30,0.01313584277068208,
